tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,overnight_quantity,multiplier,value,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value,ltp,open,high,low,close,qty,oPL%,dPL%,avg,Invested,PnL,PL%,Yvalue,dPnL,outqty,in,out,smb_power,fPL%,tPL%
AARTIIND,NSE,1793,INE769A01020,CNC,0.0,6,0.0,0.0,6.0,6.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 6}},6.0,0.0,0.0,,False,762.2,687.2,694.55,-450,-7.349999999999909,-1.0582391476495443,holdings,NSE:AARTIIND,,,4123.2,,,,,,,,,,,,,,,,,,687.2,694.55,694.55,677.65,694.55,6,-1.06,-1.06,762.2,4573,-449,-9.82,4167.3,-44.1,14.0,354.8,0.0,0.57,1.77,6.39
ACCELYA,NSE,1805569,INE793A01012,CNC,0.0,5,0.0,0.0,5.0,5.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 5}},5.0,0.0,0.0,,False,1904.97,1686.3,1703.85,-1093,-17.549999999999955,-1.030020248261288,holdings,NSE:ACCELYA,,,8431.5,,,,,,,,,,,,,,,,,,1686.3,1703.85,1724.95,1671.0,1703.85,5,-1.03,-1.03,1904.97,9525,-1093,-11.48,8519.25,-87.75,797.0,31.159598,0.0,0.28,1.32,4.58
ACE,BSE,136387076,INE731H01025,CNC,0.0,7,0.0,0.0,7.0,7.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 7}},7.0,0.0,0.0,,False,1525.95,1505.95,1504.95,-140,1.0,0.0664473902787468,holdings,BSE:ACE,,,10541.65,,,,,,,,,,,,,,,,,,1505.95,1500.75,1544.0,1480.05,1504.95,7,0.35,0.07,1525.95,10682,-140,-1.31,10534.65,7.0,,,962.5,0.41,1.51,5.25
ACI,NSE,3078145,INE128X01021,CNC,0.0,7,0.0,0.0,7.0,7.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 7}},7.0,0.0,0.0,,False,692.69,657.6,691.65,-245,-34.049999999999955,-4.923010193016693,holdings,NSE:ACI,,,4603.2,,,,,,,,,,,,,,,,,,657.6,667.0,673.2,654.0,691.65,7,-1.41,-4.92,692.692857,4849,-245,-5.05,4841.55,-238.35,,,1049.12,0.19,1.21,4.25
ADINATH,BSE,131612932,INE207C01019,CNC,0.0,332,0.0,0.0,332.0,332.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 332}},332.0,0.0,0.0,,False,30.1,25.63,26.1,-1484,-0.4700000000000024,-1.8007662835249134,holdings,BSE:ADINATH,,,8509.16,,,,,,,,,,,,,,,,,,25.63,26.1,26.1,25.11,26.1,332,-1.8,-1.8,30.1,9993,-1483,-14.84,8665.2,-156.04,,,996.35,0.52,1.68,5.96
ADROITINFO,BSE,136236036,INE737B01033,CNC,0.0,692,0.0,0.0,692.0,692.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 692}},692.0,0.0,0.0,,False,23.32,18.4,18.47,-3405,-0.07000000000000028,-0.37899296155928686,holdings,BSE:ADROITINFO,,,12732.8,,,,,,,,,,,,,,,,,,18.4,18.95,18.95,18.0,18.47,692,-2.9,-0.38,23.321705,16139,-3406,-21.1,12781.24,-48.44,,,1034.4,0.42,1.52,5.28
AJANTPHARM,BSE,136276740,INE031B01049,CNC,0.0,2,0.0,0.0,2.0,2.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 2}},2.0,0.0,0.0,,False,2417.95,2306.35,2318.55,-223,-12.200000000000273,-0.5261909383019677,holdings,BSE:AJANTPHARM,,,4612.7,,,,,,,,,,,,,,,,,,2306.35,2327.9,2348.65,2260.55,2318.55,2,-0.93,-0.53,2417.95,4836,-223,-4.61,4637.1,-24.4,,,1018.7,0.52,1.68,5.96
AMBER,NSE,303361,INE371P01015,CNC,0.0,0,1.0,0.0,0.0,1.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 1}},1.0,0.0,0.0,,False,4059.25,4279.25,4262.75,0,16.5,0.3870740719019412,holdings,NSE:AMBER,,,0.0,,,,,,,,,,,,,,,,,,4279.25,4275.0,4425.35,4217.0,4262.75,0,0.1,0.39,4059.25,0,0,,0.0,0.0,,,1017.6,0.3,1.35,4.68
APOORVA,BSE,138123524,INE217S01014,CNC,0.0,66,0.0,0.0,66.0,66.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 66}},66.0,0.0,0.0,,False,29.9,33.61,32.01,244,1.6000000000000014,4.998437988128714,holdings,BSE:APOORVA,,,2218.26,,,,,,,,,,,,,,,,,,33.61,32.0,33.61,30.41,32.01,66,5.03,5.0,29.9,1973,245,12.42,2112.66,105.6,,,1042.35,1.0,2.72,14.3
ASIANPAINT,BSE,128209924,INE021A01026,CNC,0.0,2,0.0,0.0,2.0,2.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 2}},2.0,0.0,0.0,,False,2948.0,2882.15,2864.8,-131,17.34999999999991,0.6056269198547859,holdings,BSE:ASIANPAINT,,,5764.3,,,,,,,,,,,,,,,,,,2882.15,2860.0,2902.0,2845.0,2864.8,2,0.77,0.61,2948.0,5896,-131,-2.22,5729.6,34.7,,,54.042308000000006,0.65,1.92,7.2
